Category,Sum Sales,Count
Abrasive & Finishing Products,2473551.5,160300
Accessories & Supplies,28835010.0,832100
Additive Manufacturing Products,4006343.5,94100
Arts & Crafts Supplies,17620588.5,1346550
"Arts, Crafts & Sewing Storage",3305590.5,197550
Automotive Enthusiast Merchandise,19130.0,800
Automotive Exterior Accessories,25094744.5,1069750
Automotive Interior Accessories,29548303.0,1382000
Automotive Paint & Paint Supplies,360495.0,15050
Automotive Performance Parts & Accessories,801960.0,27350
Automotive Replacement Parts,36571071.5,1809150
Automotive Tires & Wheels,23680793.5,720000
Automotive Tools & Equipment,74697831.5,1681750
Baby,5777244.5,363350
Baby & Child Care Products,18624251.0,1028150
Baby & Toddler Feeding Supplies,48501263.5,1782400
Baby & Toddler Toys,26180315.5,1475250
Baby Activity & Entertainment Products,16173013.0,269700
Baby Boys' Clothing & Shoes,5924418.5,347550
Baby Care Products,18146140.0,1326750
Baby Diapering Products,16476780.0,688750
Baby Gifts,2550915.5,127650
Baby Girls' Clothing & Shoes,1550107.0,88900
Baby Safety Products,11443436.0,391750
Baby Stationery,67629.5,5800
Baby Strollers & Accessories,13589497.5,210100
Baby Travel Gear,8260144.0,191150
Backpacks,4653968.5,122600
Bath Products,49000059.0,2455350
Beading & Jewelry Making,15210477.5,1099750
Beauty & Personal Care,4215630.5,205300
Beauty Tools & Accessories,38934073.5,3070700
Bedding,86802691.0,2716900
Boys' Accessories,699275.0,53050
Boys' Clothing,6125131.0,326000
Boys' Jewelry,716976.5,54900
Boys' School Uniforms,27519.0,1950
Boys' Shoes,1208311.0,39200
Boys' Watches,353567.5,23800
Building Supplies,13744663.0,328750
Building Toys,11982723.5,280250
Camera & Photo,4037612.5,85350
Car Care,14308917.0,772100
Car Electronics & Accessories,495381.0,12700
Cat Supplies,44449503.5,1858700
Cell Phones & Accessories,1295213.5,42950
Child Safety Car Seats & Accessories,23303262.0,372950
Commercial Door Products,502853.0,21750
Computer Components,731662.5,27550
Computer External Components,3199.0,100
Computer Monitors,68081.0,600
Computer Networking,178486.5,3400
Computer Servers,0.0,0
Computers,16583341.5,533550
Computers & Tablets,22122.0,250
Craft & Hobby Fabric,730918.5,46650
Craft Supplies & Materials,36640022.5,2680850
Cutting Tools,4562325.5,215400
Data Storage,8088.5,350
Diet & Sports Nutrition,53917004.5,2297450
Dog Supplies,102992041.0,4576650
Dolls & Accessories,14317929.0,616400
Electrical Equipment,9471202.5,404900
Electronic Components,5249160.5,298600
Fabric Decorating,872477.5,67400
Fasteners,3504059.5,261200
Filtration,5086989.0,77650
Finger Toys,149110.0,9750
Fish & Aquatic Pets,7661734.5,422650
Food Service Equipment & Supplies,38403639.5,1803250
"Foot, Hand & Nail Care Products",40761324.5,3379300
Furniture,55015382.5,883200
GPS & Navigation,572936.0,7750
Games & Accessories,34820345.5,1452300
Garment Bags,43696.5,450
Gift Cards,0.0,0
Gift Wrapping Supplies,8853697.5,701000
Girls' Accessories,664480.5,46150
Girls' Clothing,6758102.5,395700
Girls' Jewelry,3092162.0,240750
Girls' School Uniforms,107021.5,7250
Girls' Shoes,2627393.0,96200
Girls' Watches,176220.0,10700
Hair Care Products,152940697.5,8012850
Hardware,5307483.0,293750
Headphones & Earbuds,1717932.5,34150
Health & Household,93895499.0,6138000
Health Care Products,68067197.5,3717050
"Heating, Cooling & Air Quality",74840634.0,1441300
Heavy Duty & Commercial Vehicle Equipment,302604.5,12100
Home Appliances,59671251.5,2311750
Home Audio & Theater Products,1372450.5,42750
Home Décor Products,74805270.5,4073350
Home Lighting & Ceiling Fans,2709693.0,82350
Home Storage & Organization,138604708.5,5356200
